time_period,total_load,cell_barring,cell_radius
0,45.160570601928185,1,100
1,45.28571649955932,1,100
2,45.414724931978945,1,100
3,45.5051578255807,1,100
4,45.59750676476128,1,100
5,45.682237656969704,1,100
6,45.84295705248536,1,100
7,45.98547189962242,1,100
8,46.06779908203173,1,100
9,46.17000772150178,1,100
10,46.218362632444105,1,100
11,46.29343022825339,1,100
12,46.41442163792064,1,100
13,46.43091181636842,1,100
14,46.46956626554971,1,100
15,46.483258808881246,1,100
16,46.56294147112405,1,100
17,46.59468638806915,1,100
18,46.704167667455664,1,100
19,46.76275326387941,1,100
20,46.84127601065271,1,100
21,46.94518826838651,1,100
22,46.98626955170708,1,100
23,46.95880589298433,1,100
24,47.1544591632703,1,100
25,47.21915383629539,1,100
26,47.47925454450315,1,100
27,47.65571607805494,1,100
28,47.7154687663912,1,100
29,47.7441453708346,1,100
30,47.64930219352107,1,100
31,47.648323262187915,1,100
32,47.57174882467511,1,100
33,47.66101384686857,1,100
34,47.67238590760769,1,100
35,47.74993985346814,1,100
36,47.79707446968371,1,100
37,47.82349283842798,1,100
38,47.87627923862774,1,100
39,48.09154267769447,1,100
40,47.99758446317689,1,100
41,48.06116080055879,1,100
42,48.18831169481771,1,100
43,48.148756081107045,1,100
44,48.18594882273001,1,100
45,48.27375406423652,1,100
46,48.41330219289059,1,100
47,48.59177839233598,1,100
48,48.5238520667083,1,100
49,48.522060285178846,1,100
50,48.50334315265311,1,100
51,48.66378678189383,1,100
52,48.72650397053047,1,100
53,48.82885914517634,1,100
54,48.78629145656889,1,100
55,48.74721370365988,1,100
56,48.853270542414386,1,100
57,48.828810941039166,1,100
58,48.88074522301724,1,100
59,48.9541721171846,1,100
60,49.01913385767042,1,100
61,49.033930276833054,1,100
62,49.1618200286544,1,100
63,49.11600156567473,1,100
64,49.100139084569435,1,100
65,49.13752160157798,1,100
66,49.01386356993105,1,100
67,48.93828280844505,1,100
68,48.943030808086114,1,100
69,48.96342751352088,1,100
70,48.974300977829934,1,100
71,48.98183590059827,1,100
72,49.01291032588337,1,100
73,48.9326931848402,1,100
74,49.026629971974955,1,100
75,49.012218479626604,1,100
76,49.10931563748043,1,100
77,48.98704801747592,1,100
78,49.01404435546685,1,100
79,49.04970282327682,1,100
80,49.03946691484615,1,100
81,49.108015640461474,1,100
82,49.1043520713236,1,100
83,49.234487992101656,1,100
84,49.29428519415486,1,100
85,49.242562432443705,1,100
86,49.35590024884204,1,100
87,49.26697724587765,1,100
88,49.251185534571036,1,100
89,49.31390301847633,1,100
90,49.30935798279738,1,100
91,49.34062869069459,1,100
92,49.41356867243781,1,100
93,49.483543985594416,1,100
94,49.546967803498276,1,100
95,49.465706643268554,1,100
96,49.444154322618374,1,100
97,49.416557121348646,1,100
98,49.391954189257746,1,100
99,49.444165641214475,1,100
100,49.463330221390706,1,100
101,49.51773963024065,1,100
102,49.444891619849344,1,100
103,49.42744426078151,1,100
104,49.41710760137969,1,100
105,49.433160338971284,1,100
106,49.43421565811965,1,100
107,49.48879215802947,1,100
108,49.493339772214114,1,100
109,49.47719657441898,1,100
110,49.49793936362207,1,100
111,49.47273791589117,1,100
112,49.43108469479076,1,100
