time_period,total_load,cell_barring,cell_radius,pes_num
0,54.082737616196916,1,90,45
1,54.17268073449861,1,80,45
2,54.257519947489484,1,70,45
3,53.155847788706,1,60,44
4,43.5643030550259,0,60,36
5,53.30944229808853,1,60,44
6,46.11833944113651,1,50,38
7,35.239504635016296,0,50,29
8,43.79616141639102,0,60,36
9,45.07388467470655,1,60,37
10,42.710860517285,0,60,35
11,42.76121123407664,0,70,35
12,44.007584491761214,0,80,36
13,44.058339393150106,0,90,36
14,44.10772873314719,0,100,36
15,44.166968236076315,0,110,36
16,44.22040568799454,0,120,36
17,44.26867202407028,0,130,36
18,44.30566633943143,0,140,36
19,44.354744722153455,0,150,36
20,44.41360638912104,0,160,36
21,44.45969098263801,0,170,36
22,44.50987854806484,0,180,36
23,44.54910050610242,0,190,36
24,44.61642237743552,0,200,36
25,44.678769418200325,0,210,36
26,44.73416452301972,0,220,36
27,44.80561552274999,0,230,36
28,44.856981762470994,0,240,36
29,44.900478815295145,0,250,36
30,44.94660030717953,0,260,36
31,44.97987164613548,0,270,36
32,45.026227290517745,1,270,36
33,45.06217745234226,1,260,36
34,45.10504678560981,1,250,36
35,45.13991995429539,1,240,36
36,45.191058585651696,1,230,36
37,45.218025971344844,1,220,36
38,45.24998084703461,1,210,36
39,45.28786848933386,1,200,36
40,45.32881592642798,1,190,36
41,45.3558129783813,1,180,36
42,45.38631276139969,1,170,36
43,45.40023876475116,1,160,36
44,45.44213381388268,1,150,36
45,45.47238780464675,1,140,36
46,45.485088887921684,1,130,36
47,45.531174761956045,1,120,36
48,45.541071875277865,1,110,36
49,45.5640950619174,1,100,36
50,45.5712419151615,1,90,36
51,45.59726833842541,1,80,36
52,45.61425202885062,1,70,36
53,44.371469668402725,0,70,35
54,44.406432795043266,0,80,35
55,44.40951002224371,0,90,35
56,44.42448092925908,0,100,35
57,44.431261639291996,0,110,35
58,44.44673789112094,0,120,35
59,44.48216823467714,0,130,35
60,44.489282072654944,0,140,35
61,44.509558412963344,0,150,35
62,44.51454619334507,0,160,35
63,44.52463559823035,0,170,35
64,44.53256179456587,0,180,35
65,44.53799255457702,0,190,35
66,44.53501861100551,0,200,35
67,44.52739456540554,0,210,35
68,44.53138530589749,0,220,35
69,44.55282763258698,0,230,35
70,44.55914839120017,0,240,35
71,44.557298963960754,0,250,35
72,44.566344959044756,0,260,35
73,44.565429364280185,0,270,35
74,44.57868544929508,0,280,35
75,44.58594954540213,0,290,35
76,44.58389217428987,0,300,35
77,44.58602084709166,0,310,35
78,44.59033652005295,0,320,35
79,44.60115363918735,0,330,35
80,44.62025962425558,0,340,35
81,44.61333456547273,0,350,35
82,44.61616941621877,0,360,35
83,44.6118519567032,0,370,35
84,44.63778940744156,0,380,35
85,44.63571099943127,0,390,35
86,44.63378676377299,0,400,35
87,44.631087707588286,0,410,35
88,44.63596808721293,0,420,35
89,44.624652805926054,0,430,35
90,44.628146330852246,0,440,35
91,44.62133721269491,0,450,35
92,44.626045365578214,0,460,35
93,44.61587593081058,0,470,35
94,44.614628478916444,0,480,35
95,44.61677721857177,0,490,35
96,44.61676231729596,0,500,35
97,44.61435501098191,0,510,35
98,44.59262754230008,0,520,35
99,44.58518432532631,0,530,35
100,44.57585531563681,0,540,35
101,44.57120671791495,0,550,35
102,44.56979444374965,0,560,35
103,44.564652666762576,0,570,35
104,44.556138092061204,0,580,35
105,44.54668137037296,0,590,35
106,44.54382167546374,0,600,35
107,44.533609172293595,0,610,35
108,44.512565861594425,0,620,35
109,44.50775012578484,0,630,35
110,44.51416534050311,0,640,35
111,44.504527697386344,0,650,35
112,44.4892028063462,0,660,35
113,44.48859673130469,0,670,35
114,44.474483934536714,0,680,35
115,44.463558904034905,0,690,35
116,44.46028164828911,0,700,35
117,44.46807501339389,0,710,35
118,44.465954271892684,0,720,35
119,44.45459311812859,0,730,35
120,44.43089840450289,0,740,35
121,44.3987502924885,0,750,35
122,44.40910624823409,0,760,35
123,44.39811834883499,0,770,35
124,44.383509290136615,0,780,35
125,44.379192506036425,0,790,35
126,44.37303805291763,0,800,35
127,44.36564823612622,0,810,35
128,44.35639612690927,0,820,35
129,44.34270568803798,0,830,35
130,44.34137485617453,0,840,35
131,44.332674077355065,0,850,35
132,44.32221835776402,0,860,35
133,44.31719862377977,0,870,35
134,44.30875925743447,0,880,35
135,44.305161439023934,0,890,35
136,44.28443668036933,0,900,35
137,44.2878283622801,0,910,35
138,44.284956034711286,0,920,35
139,44.275251253755854,0,930,35
140,44.26705140608552,0,940,35
141,44.25444854547586,0,950,35
142,44.24046801413111,0,960,35
143,44.22335615013458,0,970,35
144,44.21847839695562,0,980,35
145,44.2087628205788,0,990,35
146,44.1906249213445,0,1000,35
147,44.19960279291991,0,1010,35
148,44.205144137660966,0,1020,35
149,44.20716721132198,0,1030,35
150,44.19915008881937,0,1040,35
151,44.197142143515265,0,1050,35
152,44.18442438445139,0,1060,35
153,44.18540217388388,0,1070,35
154,44.16815655652492,0,1080,35
155,44.14451787645531,0,1090,35
156,44.11789032624496,0,1100,35
157,44.127497778258906,0,1110,35
158,44.10868819357931,0,1120,35
159,44.093835692549376,0,1130,35
160,44.07337419241246,0,1140,35
161,44.0508272797261,0,1150,35
162,44.05006150587566,0,1160,35
163,44.04816455863195,0,1170,35
164,44.04154458529752,0,1180,35
165,44.03622418228307,0,1190,35
166,44.01563447471509,0,1200,35
167,44.0139980036411,0,1210,35
168,43.99618585757573,0,1220,35
169,43.991624307132184,0,1230,35
170,43.99097744917535,0,1240,35
171,43.98894753602877,0,1250,35
172,43.9844718020502,0,1260,35
173,43.97743738379265,0,1270,35
174,43.971279729690536,0,1280,35
175,43.95596737689246,0,1290,35
176,43.948150765529576,0,1300,35
177,43.91609280577877,0,1310,35
178,43.900565058781666,0,1320,35
179,43.900955809028545,0,1330,35
180,43.895312196479026,0,1340,35
181,43.87466003445589,0,1350,35
182,43.864340414555805,0,1360,35
183,43.850273259331885,0,1370,35
184,43.83624541130152,0,1380,35
185,43.8190446185478,0,1390,35
186,43.8165228509859,0,1400,35
187,43.80755131908049,0,1410,35
188,43.803869281898265,0,1420,35
189,43.79917104814955,0,1430,35
190,43.792522946978096,0,1440,35
191,43.78830868032812,0,1450,35
192,43.78207264349147,0,1460,35
193,43.78086114584971,0,1470,35
194,43.761294066128656,0,1480,35
195,43.75130439500272,0,1490,35
196,45.62505431981736,1,1490,36
197,49.734166130985166,1,1480,38
198,49.717898475868175,1,1470,38
199,49.69814452004994,1,1460,38
200,49.68376209875505,1,1450,38
201,49.66132300985776,1,1440,38
202,49.64674213317058,1,1430,38
203,49.62280052423822,1,1420,38
204,49.6004009580833,1,1410,38
